PING 192.168.0.3 (192.168.0.3) 56(84) bytes of data.
64 bytes from 192.168.0.3: icmp_seq=86 ttl=64 time=0.241 ms
64 bytes from 192.168.0.3: icmp_seq=87 ttl=64 time=0.166 ms
64 bytes from 192.168.0.3: icmp_seq=88 ttl=64 time=0.194 ms
64 bytes from 192.168.0.3: icmp_seq=89 ttl=64 time=0.173 ms
64 bytes from 192.168.0.3: icmp_seq=90 ttl=64 time=0.208 ms
64 bytes from 192.168.0.3: icmp_seq=91 ttl=64 time=0.219 ms
64 bytes from 192.168.0.3: icmp_seq=92 ttl=64 time=0.160 ms
64 bytes from 192.168.0.3: icmp_seq=93 ttl=64 time=0.157 ms
64 bytes from 192.168.0.3: icmp_seq=94 ttl=64 time=0.235 ms
64 bytes from 192.168.0.3: icmp_seq=95 ttl=64 time=0.196 ms
64 bytes from 192.168.0.3: icmp_seq=96 ttl=64 time=0.165 ms
64 bytes from 192.168.0.3: icmp_seq=97 ttl=64 time=0.203 ms
64 bytes from 192.168.0.3: icmp_seq=98 ttl=64 time=0.174 ms
64 bytes from 192.168.0.3: icmp_seq=99 ttl=64 time=0.180 ms
64 bytes from 192.168.0.3: icmp_seq=100 ttl=64 time=0.278 ms
64 bytes from 192.168.0.3: icmp_seq=101 ttl=64 time=0.226 ms
64 bytes from 192.168.0.3: icmp_seq=102 ttl=64 time=0.177 ms
64 bytes from 192.168.0.3: icmp_seq=103 ttl=64 time=0.224 ms
64 bytes from 192.168.0.3: icmp_seq=104 ttl=64 time=0.169 ms
64 bytes from 192.168.0.3: icmp_seq=105 ttl=64 time=0.173 ms
64 bytes from 192.168.0.3: icmp_seq=106 ttl=64 time=0.174 ms
64 bytes from 192.168.0.3: icmp_seq=107 ttl=64 time=0.173 ms
64 bytes from 192.168.0.3: icmp_seq=108 ttl=64 time=0.238 ms
64 bytes from 192.168.0.3: icmp_seq=109 ttl=64 time=0.267 ms
64 bytes from 192.168.0.3: icmp_seq=110 ttl=64 time=0.164 ms
64 bytes from 192.168.0.3: icmp_seq=111 ttl=64 time=0.240 ms
64 bytes from 192.168.0.3: icmp_seq=112 ttl=64 time=0.190 ms
64 bytes from 192.168.0.3: icmp_seq=113 ttl=64 time=0.171 ms
64 bytes from 192.168.0.3: icmp_seq=114 ttl=64 time=0.168 ms
64 bytes from 192.168.0.3: icmp_seq=115 ttl=64 time=0.270 ms

--- 192.168.0.3 ping statistics ---
115 packets transmitted, 115 received, 0% packet loss, time 116705ms
rtt min/avg/max/mdev = 0.139/0.213/0.930/0.098 ms
PING 192.168.0.3 (192.168.0.3) 56(84) bytes of data.
64 bytes from 192.168.0.3: icmp_seq=1 ttl=64 time=0.172 ms
64 bytes from 192.168.0.3: icmp_seq=2 ttl=64 time=0.176 ms
64 bytes from 192.168.0.3: icmp_seq=3 ttl=64 time=0.170 ms
64 bytes from 192.168.0.3: icmp_seq=4 ttl=64 time=0.206 ms
64 bytes from 192.168.0.3: icmp_seq=5 ttl=64 time=0.169 ms
64 bytes from 192.168.0.3: icmp_seq=6 ttl=64 time=0.216 ms
64 bytes from 192.168.0.3: icmp_seq=7 ttl=64 time=0.183 ms
64 bytes from 192.168.0.3: icmp_seq=8 ttl=64 time=0.201 ms
64 bytes from 192.168.0.3: icmp_seq=9 ttl=64 time=0.197 ms
64 bytes from 192.168.0.3: icmp_seq=10 ttl=64 time=0.169 ms
64 bytes from 192.168.0.3: icmp_seq=11 ttl=64 time=0.199 ms
64 bytes from 192.168.0.3: icmp_seq=12 ttl=64 time=0.211 ms
64 bytes from 192.168.0.3: icmp_seq=13 ttl=64 time=0.182 ms
64 bytes from 192.168.0.3: icmp_seq=14 ttl=64 time=0.230 ms
64 bytes from 192.168.0.3: icmp_seq=15 ttl=64 time=0.228 ms
64 bytes from 192.168.0.3: icmp_seq=16 ttl=64 time=0.189 ms
64 bytes from 192.168.0.3: icmp_seq=17 ttl=64 time=0.192 ms
64 bytes from 192.168.0.3: icmp_seq=18 ttl=64 time=0.183 ms
64 bytes from 192.168.0.3: icmp_seq=19 ttl=64 time=0.192 ms
64 bytes from 192.168.0.3: icmp_seq=20 ttl=64 time=0.309 ms
64 bytes from 192.168.0.3: icmp_seq=21 ttl=64 time=0.205 ms
64 bytes from 192.168.0.3: icmp_seq=22 ttl=64 time=0.186 ms
64 bytes from 192.168.0.3: icmp_seq=23 ttl=64 time=0.225 ms
64 bytes from 192.168.0.3: icmp_seq=24 ttl=64 time=0.197 ms
64 bytes from 192.168.0.3: icmp_seq=25 ttl=64 time=0.199 ms
64 bytes from 192.168.0.3: icmp_seq=26 ttl=64 time=0.172 ms
64 bytes from 192.168.0.3: icmp_seq=27 ttl=64 time=0.221 ms
64 bytes from 192.168.0.3: icmp_seq=28 ttl=64 time=0.180 ms
64 bytes from 192.168.0.3: icmp_seq=29 ttl=64 time=0.281 ms
64 bytes from 192.168.0.3: icmp_seq=30 ttl=64 time=0.154 ms
64 bytes from 192.168.0.3: icmp_seq=31 ttl=64 time=0.188 ms
64 bytes from 192.168.0.3: icmp_seq=32 ttl=64 time=0.217 ms
64 bytes from 192.168.0.3: icmp_seq=33 ttl=64 time=0.190 ms
64 bytes from 192.168.0.3: icmp_seq=34 ttl=64 time=0.271 ms
64 bytes from 192.168.0.3: icmp_seq=35 ttl=64 time=0.183 ms
64 bytes from 192.168.0.3: icmp_seq=36 ttl=64 time=0.225 ms
64 bytes from 192.168.0.3: icmp_seq=37 ttl=64 time=0.162 ms
64 bytes from 192.168.0.3: icmp_seq=38 ttl=64 time=0.199 ms
64 bytes from 192.168.0.3: icmp_seq=39 ttl=64 time=0.166 ms
64 bytes from 192.168.0.3: icmp_seq=40 ttl=64 time=0.190 ms
64 bytes from 192.168.0.3: icmp_seq=41 ttl=64 time=0.166 ms
64 bytes from 192.168.0.3: icmp_seq=42 ttl=64 time=0.210 ms
64 bytes from 192.168.0.3: icmp_seq=43 ttl=64 time=0.196 ms
64 bytes from 192.168.0.3: icmp_seq=44 ttl=64 time=0.177 ms
64 bytes from 192.168.0.3: icmp_seq=45 ttl=64 time=0.195 ms
64 bytes from 192.168.0.3: icmp_seq=46 ttl=64 time=0.187 ms
64 bytes from 192.168.0.3: icmp_seq=47 ttl=64 time=0.180 ms
64 bytes from 192.168.0.3: icmp_seq=48 ttl=64 time=0.241 ms
64 bytes from 192.168.0.3: icmp_seq=49 ttl=64 time=0.156 ms
64 bytes from 192.168.0.3: icmp_seq=50 ttl=64 time=0.610 ms
64 bytes from 192.168.0.3: icmp_seq=51 ttl=64 time=0.233 ms
64 bytes from 192.168.0.3: icmp_seq=52 ttl=64 time=0.269 ms
64 bytes from 192.168.0.3: icmp_seq=53 ttl=64 time=0.185 ms
64 bytes from 192.168.0.3: icmp_seq=54 ttl=64 time=0.186 ms
64 bytes from 192.168.0.3: icmp_seq=55 ttl=64 time=0.194 ms
64 bytes from 192.168.0.3: icmp_seq=56 ttl=64 time=0.217 ms
64 bytes from 192.168.0.3: icmp_seq=57 ttl=64 time=0.157 ms
64 bytes from 192.168.0.3: icmp_seq=58 ttl=64 time=0.214 ms
64 bytes from 192.168.0.3: icmp_seq=59 ttl=64 time=0.167 ms
64 bytes from 192.168.0.3: icmp_seq=60 ttl=64 time=0.212 ms
64 bytes from 192.168.0.3: icmp_seq=61 ttl=64 time=0.239 ms
64 bytes from 192.168.0.3: icmp_seq=62 ttl=64 time=0.200 ms
64 bytes from 192.168.0.3: icmp_seq=63 ttl=64 time=0.207 ms
64 bytes from 192.168.0.3: icmp_seq=64 ttl=64 time=0.201 ms
64 bytes from 192.168.0.3: icmp_seq=65 ttl=64 time=0.164 ms
64 bytes from 192.168.0.3: icmp_seq=66 ttl=64 time=0.190 ms
64 bytes from 192.168.0.3: icmp_seq=67 ttl=64 time=0.191 ms
64 bytes from 192.168.0.3: icmp_seq=68 ttl=64 time=0.205 ms
64 bytes from 192.168.0.3: icmp_seq=69 ttl=64 time=0.194 ms
64 bytes from 192.168.0.3: icmp_seq=70 ttl=64 time=0.232 ms
64 bytes from 192.168.0.3: icmp_seq=71 ttl=64 time=0.200 ms
64 bytes from 192.168.0.3: icmp_seq=72 ttl=64 time=0.190 ms
64 bytes from 192.168.0.3: icmp_seq=73 ttl=64 time=0.189 ms
64 bytes from 192.168.0.3: icmp_seq=74 ttl=64 time=0.182 ms
64 bytes from 192.168.0.3: icmp_seq=75 ttl=64 time=0.237 ms
64 bytes from 192.168.0.3: icmp_seq=76 ttl=64 time=0.200 ms
64 bytes from 192.168.0.3: icmp_seq=77 ttl=64 time=0.230 ms
64 bytes from 192.168.0.3: icmp_seq=78 ttl=64 time=0.178 ms
64 bytes from 192.168.0.3: icmp_seq=79 ttl=64 time=0.205 ms
64 bytes from 192.168.0.3: icmp_seq=80 ttl=64 time=0.190 ms
64 bytes from 192.168.0.3: icmp_seq=81 ttl=64 time=0.223 ms
64 bytes from 192.168.0.3: icmp_seq=82 ttl=64 time=0.288 ms
64 bytes from 192.168.0.3: icmp_seq=83 ttl=64 time=0.197 ms
64 bytes from 192.168.0.3: icmp_seq=84 ttl=64 time=0.205 ms
64 bytes from 192.168.0.3: icmp_seq=85 ttl=64 time=0.201 ms
64 bytes from 192.168.0.3: icmp_seq=86 ttl=64 time=0.263 ms
64 bytes from 192.168.0.3: icmp_seq=87 ttl=64 time=0.209 ms
64 bytes from 192.168.0.3: icmp_seq=88 ttl=64 time=0.218 ms
64 bytes from 192.168.0.3: icmp_seq=89 ttl=64 time=0.202 ms
64 bytes from 192.168.0.3: icmp_seq=90 ttl=64 time=0.197 ms
64 bytes from 192.168.0.3: icmp_seq=91 ttl=64 time=0.262 ms
64 bytes from 192.168.0.3: icmp_seq=92 ttl=64 time=0.168 ms
64 bytes from 192.168.0.3: icmp_seq=93 ttl=64 time=0.185 ms
64 bytes from 192.168.0.3: icmp_seq=94 ttl=64 time=0.201 ms
64 bytes from 192.168.0.3: icmp_seq=95 ttl=64 time=0.205 ms
64 bytes from 192.168.0.3: icmp_seq=96 ttl=64 time=0.188 ms
64 bytes from 192.168.0.3: icmp_seq=97 ttl=64 time=0.228 ms
64 bytes from 192.168.0.3: icmp_seq=98 ttl=64 time=0.187 ms
64 bytes from 192.168.0.3: icmp_seq=99 ttl=64 time=0.174 ms
64 bytes from 192.168.0.3: icmp_seq=100 ttl=64 time=0.132 ms
64 bytes from 192.168.0.3: icmp_seq=101 ttl=64 time=0.186 ms
64 bytes from 192.168.0.3: icmp_seq=102 ttl=64 time=0.208 ms
64 bytes from 192.168.0.3: icmp_seq=103 ttl=64 time=0.189 ms
64 bytes from 192.168.0.3: icmp_seq=104 ttl=64 time=0.205 ms
64 bytes from 192.168.0.3: icmp_seq=105 ttl=64 time=0.161 ms
64 bytes from 192.168.0.3: icmp_seq=106 ttl=64 time=0.180 ms
64 bytes from 192.168.0.3: icmp_seq=107 ttl=64 time=0.167 ms
64 bytes from 192.168.0.3: icmp_seq=108 ttl=64 time=0.173 ms
64 bytes from 192.168.0.3: icmp_seq=109 ttl=64 time=0.266 ms
64 bytes from 192.168.0.3: icmp_seq=110 ttl=64 time=0.187 ms
64 bytes from 192.168.0.3: icmp_seq=111 ttl=64 time=0.191 ms
64 bytes from 192.168.0.3: icmp_seq=112 ttl=64 time=0.154 ms
64 bytes from 192.168.0.3: icmp_seq=113 ttl=64 time=0.183 ms
64 bytes from 192.168.0.3: icmp_seq=114 ttl=64 time=0.169 ms
64 bytes from 192.168.0.3: icmp_seq=115 ttl=64 time=0.187 ms
64 bytes from 192.168.0.3: icmp_seq=116 ttl=64 time=0.211 ms
64 bytes from 192.168.0.3: icmp_seq=117 ttl=64 time=0.189 ms
64 bytes from 192.168.0.3: icmp_seq=118 ttl=64 time=0.177 ms
64 bytes from 192.168.0.3: icmp_seq=119 ttl=64 time=0.158 ms
64 bytes from 192.168.0.3: icmp_seq=120 ttl=64 time=0.156 ms
64 bytes from 192.168.0.3: icmp_seq=121 ttl=64 time=0.153 ms
64 bytes from 192.168.0.3: icmp_seq=122 ttl=64 time=0.168 ms
64 bytes from 192.168.0.3: icmp_seq=123 ttl=64 time=4.96 ms
64 bytes from 192.168.0.3: icmp_seq=124 ttl=64 time=0.163 ms
64 bytes from 192.168.0.3: icmp_seq=125 ttl=64 time=0.170 ms
64 bytes from 192.168.0.3: icmp_seq=126 ttl=64 time=0.180 ms
64 bytes from 192.168.0.3: icmp_seq=127 ttl=64 time=0.211 ms
64 bytes from 192.168.0.3: icmp_seq=128 ttl=64 time=0.161 ms
64 bytes from 192.168.0.3: icmp_seq=129 ttl=64 time=0.176 ms
64 bytes from 192.168.0.3: icmp_seq=130 ttl=64 time=0.180 ms
64 bytes from 192.168.0.3: icmp_seq=131 ttl=64 time=0.172 ms
64 bytes from 192.168.0.3: icmp_seq=132 ttl=64 time=0.185 ms
64 bytes from 192.168.0.3: icmp_seq=133 ttl=64 time=0.228 ms
64 bytes from 192.168.0.3: icmp_seq=134 ttl=64 time=0.167 ms
64 bytes from 192.168.0.3: icmp_seq=135 ttl=64 time=0.159 ms
64 bytes from 192.168.0.3: icmp_seq=136 ttl=64 time=0.175 ms
64 bytes from 192.168.0.3: icmp_seq=137 ttl=64 time=0.202 ms
64 bytes from 192.168.0.3: icmp_seq=138 ttl=64 time=0.190 ms
64 bytes from 192.168.0.3: icmp_seq=139 ttl=64 time=0.216 ms
64 bytes from 192.168.0.3: icmp_seq=140 ttl=64 time=0.187 ms
64 bytes from 192.168.0.3: icmp_seq=141 ttl=64 time=0.230 ms
64 bytes from 192.168.0.3: icmp_seq=142 ttl=64 time=0.205 ms
64 bytes from 192.168.0.3: icmp_seq=143 ttl=64 time=0.171 ms
64 bytes from 192.168.0.3: icmp_seq=144 ttl=64 time=0.174 ms
64 bytes from 192.168.0.3: icmp_seq=145 ttl=64 time=0.158 ms
64 bytes from 192.168.0.3: icmp_seq=146 ttl=64 time=0.243 ms
64 bytes from 192.168.0.3: icmp_seq=147 ttl=64 time=0.193 ms
64 bytes from 192.168.0.3: icmp_seq=148 ttl=64 time=0.185 ms
64 bytes from 192.168.0.3: icmp_seq=149 ttl=64 time=0.289 ms
64 bytes from 192.168.0.3: icmp_seq=150 ttl=64 time=0.179 ms
64 bytes from 192.168.0.3: icmp_seq=151 ttl=64 time=0.213 ms
64 bytes from 192.168.0.3: icmp_seq=152 ttl=64 time=0.190 ms
64 bytes from 192.168.0.3: icmp_seq=153 ttl=64 time=0.230 ms
64 bytes from 192.168.0.3: icmp_seq=154 ttl=64 time=0.198 ms
64 bytes from 192.168.0.3: icmp_seq=155 ttl=64 time=0.205 ms
64 bytes from 192.168.0.3: icmp_seq=156 ttl=64 time=0.160 ms
64 bytes from 192.168.0.3: icmp_seq=157 ttl=64 time=0.169 ms
64 bytes from 192.168.0.3: icmp_seq=158 ttl=64 time=0.164 ms
64 bytes from 192.168.0.3: icmp_seq=159 ttl=64 time=0.222 ms
64 bytes from 192.168.0.3: icmp_seq=160 ttl=64 time=0.161 ms
64 bytes from 192.168.0.3: icmp_seq=161 ttl=64 time=0.207 ms
64 bytes from 192.168.0.3: icmp_seq=162 ttl=64 time=0.235 ms
64 bytes from 192.168.0.3: icmp_seq=163 ttl=64 time=0.212 ms
64 bytes from 192.168.0.3: icmp_seq=164 ttl=64 time=0.187 ms
64 bytes from 192.168.0.3: icmp_seq=165 ttl=64 time=0.170 ms
64 bytes from 192.168.0.3: icmp_seq=166 ttl=64 time=0.170 ms
64 bytes from 192.168.0.3: icmp_seq=167 ttl=64 time=1.70 ms
64 bytes from 192.168.0.3: icmp_seq=168 ttl=64 time=0.985 ms
64 bytes from 192.168.0.3: icmp_seq=169 ttl=64 time=0.190 ms
64 bytes from 192.168.0.3: icmp_seq=170 ttl=64 time=0.190 ms
64 bytes from 192.168.0.3: icmp_seq=171 ttl=64 time=0.224 ms
64 bytes from 192.168.0.3: icmp_seq=172 ttl=64 time=0.175 ms
64 bytes from 192.168.0.3: icmp_seq=173 ttl=64 time=0.202 ms
64 bytes from 192.168.0.3: icmp_seq=174 ttl=64 time=0.206 ms
64 bytes from 192.168.0.3: icmp_seq=175 ttl=64 time=0.184 ms
64 bytes from 192.168.0.3: icmp_seq=176 ttl=64 time=0.183 ms
64 bytes from 192.168.0.3: icmp_seq=177 ttl=64 time=0.157 ms
64 bytes from 192.168.0.3: icmp_seq=178 ttl=64 time=0.245 ms
64 bytes from 192.168.0.3: icmp_seq=179 ttl=64 time=0.173 ms
64 bytes from 192.168.0.3: icmp_seq=180 ttl=64 time=0.196 ms
64 bytes from 192.168.0.3: icmp_seq=181 ttl=64 time=0.288 ms
64 bytes from 192.168.0.3: icmp_seq=182 ttl=64 time=0.180 ms
64 bytes from 192.168.0.3: icmp_seq=183 ttl=64 time=0.195 ms
64 bytes from 192.168.0.3: icmp_seq=184 ttl=64 time=0.191 ms

--- 192.168.0.3 ping statistics ---
184 packets transmitted, 184 received, 0% packet loss, time 187285ms
rtt min/avg/max/mdev = 0.132/0.236/4.958/0.372 ms
PING mail.ru (94.100.180.200) 56(84) bytes of data.
64 bytes from mail.ru (94.100.180.200): icmp_seq=1 ttl=54 time=108 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=2 ttl=54 time=112 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=3 ttl=54 time=125 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=4 ttl=54 time=107 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=5 ttl=54 time=113 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=6 ttl=54 time=106 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=7 ttl=54 time=102 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=8 ttl=54 time=103 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=9 ttl=54 time=104 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=10 ttl=54 time=118 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=11 ttl=54 time=106 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=12 ttl=54 time=107 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=13 ttl=54 time=112 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=14 ttl=54 time=102 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=15 ttl=54 time=105 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=16 ttl=54 time=104 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=17 ttl=54 time=108 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=18 ttl=54 time=130 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=19 ttl=54 time=105 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=20 ttl=54 time=107 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=21 ttl=54 time=105 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=22 ttl=54 time=102 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=23 ttl=54 time=109 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=24 ttl=54 time=113 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=25 ttl=54 time=103 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=26 ttl=54 time=108 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=27 ttl=54 time=107 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=28 ttl=54 time=109 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=29 ttl=54 time=113 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=30 ttl=54 time=107 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=31 ttl=54 time=107 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=32 ttl=54 time=111 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=33 ttl=54 time=105 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=34 ttl=54 time=110 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=35 ttl=54 time=150 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=36 ttl=54 time=107 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=37 ttl=54 time=142 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=38 ttl=54 time=100.0 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=39 ttl=54 time=109 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=40 ttl=54 time=109 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=41 ttl=54 time=155 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=42 ttl=54 time=118 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=43 ttl=54 time=111 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=44 ttl=54 time=125 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=45 ttl=54 time=155 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=46 ttl=54 time=104 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=47 ttl=54 time=125 ms
64 bytes from mail.ru (94.100.180.200): icmp_seq=48 ttl=54 time=105 ms
